app_id,domain
com.ashampoo.snap.screenshot.free,www.ashampoo.com
com.asus_zenfone.www.asus_zenfoneblog,www.asus-zenfone.com
com.duy.calculator.free,www.facebook.com
com.gamebasics.osm,www.onlinesoccermanager.com
mobi.infolife.ezweather.locker.g5n20,www.amberweather.com
com.galaticdroids.galaticAttack,www.galaticdroids.com
aw.nveco.com,www.lenouveleconomiste.fr
dating.lovn,lovn.dating
com.finalem.smartpdd.sa,smartpdd.ru
com.audionowdigital.player.diaspora,www.audionow.com
com.oki.letters,www.facebook.com
mobi.browser.flashfox,mobius.co
com.autocab.taxibooker.tripleaexpress.hayes,www.skyex.co.uk
com.vg.supericyfruitsblast,www.vascogames.com
com.fullfat.android.blockysoccer,www.full-fat.com
com.x8bit.bitwarden,bitwarden.com
ru.otpbank,www.otpbank.ru
com.forqan.tech.AnimalsJigsawPuzzles,www.facebook.com
com.goodrx.doctors,www.goodrx.com
at.firmenabc,www.firmenabc.at
uk.co.mxdata.newyorksub,www.mapway.com
com.iabuzz.TDPuzzleBlocksAnimals,iabuzz.com
com.degoo.android.washpet,bestgame.com
com.pandora.android,www.pandora.com
com.neces.lametro,www.neces.com
com.andromo.dev352756.app364811,sites.google.com
net.wenchy.ao3track.reader,wenchy.net
com.petitbambou,www.petitbambou.com
au.com.aussietravelsaver,www.aussietravelsaver.com.au
ru.beeline.services,www.beeline.ru
com.kongregate.mobile.stormbound.google,stormbound.zendesk.com
assistir.tv.online,www.gadi.com.br
com.tgg.kidscooking,vascogames.com
batalsoft.christmasinstrumentshd,www.facebook.com
traductor.ingles.espanol,www.conversormonedas.com
com.cameyo.player,www.cameyo.com
com.AsianSingles,AsianSinglesWorldwide.com
de.sde.mobile,www.sueddeutsche.de
com.csdg.uab.arpower,arthritispower.creakyjoints.org
com.tumblr,tumblr.com
com.myyearbook.m,www.meetme.com
com.video.downloader.hd.downloader.pro.videodownloader.global,docs.google.com
kr.co.smartstudy.bodlebookiapfree_android_googlemarket,pinkfong.com
pl.wykop.droid,www.wykop.pl
com.zeptolab.ctrexperiments.ads,zeptolab.com
com.bluelionsolutions.mytaxicontrol,taximeter-gps.com
com.andromo.dev295341.app548223,www.everytimeapps.com
com.nike.omega,www.nike.com
kr.caramel.quiz_stickman,sites.google.com
com.mobilefootie.wc2010,www.fotmob.com
com.andromo.dev315366.app307273,radioplus.mobi
com.asgardsoft.crossword,www.AsgardSoft.com
appsfarmer.FazaileAmaal,cdn.rawgit.com
com.skibapps.cellspycatcher,sites.google.com
biblia.habla.hoy.AOVGMDRFUVODNBOFPU,sites.google.com
arigumzi.home.design,armbekis.blogspot.com.tr
com.wordsmobile.soccerkicks,www.terrandroid.com
com.bestfreeapps.videoslidemakerwithmusic,bestfreeappsblog.wordpress.com
blue.karaoke,bluekara.blogspot.tw
com.opalastudios.pads,www.facebook.com
com.pic.collagemaster,pictoolsgroup.tumblr.com
jp.co.yahoo.android.apps.transit,www.yahoo.co.jp
com.andromo.dev79841.app81662,www.cgmpworld.com
web.dassem.livewebsiteeditorfree,sites.google.com
com.nest.android,nest.com
com.atanurapps.tvfr,www.androidserver.net
com.g5e.hiddencity.android,www.g5e.com
beststatus.statusking,indianapptech.blogspot.com
com.iugome.lilknights,product.gree.net
com.andromo.dev385961.app410931,droliaz.com
com.ril.ajio,www.ajio.com
com.han.dominoes,www.roghangames.com
com.audionowdigital.player.tetiane,www.audionowdigital.com
com.bizzabo.client,www.bizzabo.com
com.audaexplore.gtdgeneralinsurance,www.thegeneral.com
com.atompro.absworkouts,sites.google.com
com.noodlecake.happyjump,www.noodlecake.com
com.zameen.zameenapp,www.zameen.com
it.telecomitalia.centodiciannove,www.tim.it
com.wordgame.puzzle.flat.en,sites.google.com
com.andromo.dev192173.app579970,rockstreamgrdevs.gr
com.tmsoft.whitenoise.full,www.tmsoft.com
com.iguide.android.field,www.theirishfield.ie
com.tct.soundrecorder,schedulemanag.tclclouds.com
com.aim.zombiesniper,www.axesinmotion.com
com.bazinga.cacheclean,www.bazingandroid.com
com.car2go,www.car2go.com
com.phoxity.foxity,www.foxity.in
com.funplus.kingofavalonptr,discord.gg
com.perblue.portalquest,perblue.com
com.mobirix.puccajewblast,www.facebook.com
air.KitchenRestaurantCleanUp,www.yokogames.com
com.yahoo.mobile.client.android.flickr,www.flickr.com
com.pakwheels,www.pakwheels.com
com.atech.util.tips,www.atechsoftware.net
org.rtribe.rtribe,www.rtribe.org
com.automotiontv.commonwealthhonda,www.automotiontv.com
com.redMountain.main,www.bariapps.com
ppl.unity.junglecubes,www.playlab.com
com.hnsmall,m.hnsmall.com
org.findmykids.app,findmykids.org
com.YovoGames.profa,www.yovogames.com
au.com.nlm.bigleague,www.magsonline.com.au
com.iconjob.android,worki.ru
com.mm.android.direct.evoplusLite,www.bydemes.com
com.nexters.herowars,nextersglobal.com
com.awesomelivewallpapers.flowerslivewallpapers,awesomelivewallpapers.wordpress.com
com.audiencemedia.app481,www.ziniopro.com
com.refind.android,refind.com
com.locon.housing,housing.com
com.peoresnada.mental,peoresnada.com
com.bubadu.mybabycare,www.bubadu.com
com.tutotoons.app.ponysisterspopmusicband.free,www.tutotoons.com
fr.bnpp.digitalbanking,www.hellobank.fr
com.tiramisu.driftmax2,www.tiramisu.com.tr
com.easyx.coolermaster,www.picooapp.com
com.sponge.robotwo,www.facebook.com
com.scopely.headshot,scopely.com
com.hyperkani.bomberfriends,www.hyperkani.com
com.drippler.android.updates,drippler.com
com.hookah.gardroid.free,gardroid-11769.firebaseapp.com
at.asfinag.unterwegs,www.asfinag.at
nitezh.ministock,niteshpatel.github.io
com.sbi.SBIFreedomPlus,www.sbi.co.in
eu.abra.primaerp.time.android,www.primaerp.com
com.Chibig.Ankora,www.chibig.com
com.asopalav.app,compubrain.com
com.rokia.char3ia.jadida.adil.tania,saidforapp.blogspot.com
jp.ameba,www.ameba.jp
com.Plastic.Surgery.Skin.Guide,sites.google.com
com.gameloft.android.ANMP.GloftFWHM,www.gameloft.com
game2048.b2048game.twozerofoureight2048.game,wiscod.com
us.drpad.drpadapp,www.drpad.us
bitasobhani.makemebellydance,sites.google.com
com.lottemart.lmscp,www.lottemart.com
com.backflipstudios.android.ninjumpdeluxe,www.backflipstudios.com
com.renderedideas.jungleadventures,www.renderedideas.com
air.com.cg.magic.horse.unicorn.caring.my.little.pony.beauty.makeover,sites.google.com
com.Boomware.CinemaPanic2,www.facebook.com
com.kauf.babydesignermytalkingbaby,www.facebook.com
com.nate.android.portalmini,m.nate.com
com.ejr.mctstracker,mctstracker.com
com.audionowdigital.player.smoothfm,www.audionow.com
com.eventwo.iapd2017,eventwo.com
com.jb.gokeyboard,goo.gl
com.truegames.explorationpro2018,explorationpro.com
com.detentiongames.pumpkinmakerhalloween,www.detentionapps.com
net.bigbearentertainment.android_ho_guardians,www.bigbearentertainment.net
com.aura.ringtones.auraanimals,sites.google.com
com.video.maker,www.androidvideomaker.com
com.smule.singandroid,www.smule.com
com.ayasis.mentalup,www.mentalup.co
com.cestlavie.minialimi,tools-c915d.firebaseapp.com
com.avaya.ept.avayasupport,support.avaya.com
com.andromo.dev445584.app557074,sites.google.com
com.Alfeshka.SurpriseEggsGirls,alfeshka.com
com.RainbowElk.TappyDrop,www.facebook.com
com.aycka.apps.MassReadings,ayckasoft.blogspot.com
com.blacklightsw.ludo,www.blacklightsw.com
jp.co.quadsystem.skyphone,www.skyphone.jp
beautifulnight.ihs.com,sites.google.com
com.rally.wellness,www.rallyhealth.com
com.greysprings.kindergarten8,www.greysprings.com
com.andromo.dev137436.app221600,hexe.he-internet.de
com.hippo.AirportProfession,www.clearinvest-ltd.com
com.atharva.projectwellaappl,welladigital.com
de.commerzbanking.mobil,www.bankingapp.commerzbank.de
ca.lbcstudios.hempire,hempiregame.com
com.micromaxinfo.browser,www.micromaxinfo.com
fityfor.me.buttlegs,fityfor.me
com.amazon.clouddrive.photos,www.amazon.com
com.AXgamesoft.TurbopropFS,www.facebook.com
com.cisco.wx2.android,www.webex.com
com.lucky_apps.RainViewer,www.rainviewer.com
com.gramgames.mergetown,gram.gs
com.asg.truckparking.transport.driver.freegame,fhgffsite.wordpress.com
com.newsenselab.android.msense,m-sense.de
com.universallauncher.universallauncher,flicklauncher.com
com.cootek.smartinputv5.skin.keyboard_theme_it_joker,sina.lt
com.intermedia.hq,twitter.com
com.audionowdigital.player.channpardesi,www.audionow.com
com.andromo.dev130378.app326599,www.kduoapps.com
b4a.subtractionslevel2F,sites.google.com
kr.sira.unit,androidboy1.blogspot.com
com.tutotoons.app.jungleanimalhairsalon2.free,www.tutotoons.com
com.ihubin.contactsmanager,github.com
be.appwise.fietsparadijs,www.toerismelimburg.be
com.cadev.thewall,cadevgames.com
zakariaounajim.com.allcurrenciesconverter,blog.goodbarber.com
com.dodisoft.fidgetstick,dodisoft.com
org.thunderdog.challegram,telegram.org
com.HandEmbroideryDesignsnorsil,docs.google.com
blessings.duhnnae.com.blessings_bendiciones,www.duhnnae.com
com.femalefitness.workoutwoman.weightloss,qaqakn.appcloudbox.net
com.sinyee.babybus.lovehealthy,www.babybus.com
com.gv.forestmatch3puzzlemania,www.vascogames.com
ru.subprogram.guitarsongs.vint,www.facebook.com
jio.cloud.drive,www.jiocloud.com
com.andromo.dev430593.app464289,sites.google.com
com.enki.Enki750g,www.750g.com
com.orange.kidspiano.music.songs,www.orangestudios.wirez.com.ar
awesome.wallpapers.for.android,hdwallpaperthemes.com
apps.andlabs.lifestyle.makeup.beauty.eyes.lens.changer.stylish.free,policyfather.com
com.andromo.dev281355.app281827,www.trustedfeed.com
com.arabboxx.moazen,arabboxx.blogspot.com.eg
com.sega.sprint,www.sega.com
il.co.savedate.savethedate,savedate.co.il
com.avengersapps.frasesparaeldiadelpadre,avengersapps.com
com.andromo.dev249561.app234838,londonnut.com
com.dreamed.physicsdrop,www.facebook.com
com.korrisoft.ringtone.maker,ciamedia.com
com.sinyee.babybus.dinosaur,www.babybus.com
com.tapastic,tapas.io
com.ydea.codibook,codibook.net
com.gamedevltd.destinywarfare,azurgames.com
ca.walmart.ecommerceapp,www.walmart.ca
com.andromo.dev341420.app387170,docs.google.com
ru.litres.android,www.litres.ru
de.schildbach.wallet_test,github.com
com.REG.CHECK.FREE,www.thechopperchap.co.uk
com.i6.Offroad4x4HillClimb3D,i6games.net
com.jazzmoonstewdio.android.dcmetro.activity,www.jazzmoonstudio.com
com.bauermedia.bike,www.bauerdatapromise.co.uk
com.amazon.phoenix,www.amazon.com
com.facebook.Socal,www.facebook.com
com.bigfans.crcardcreator,bigfansstudio.github.io
fr.haruni.frigomagic,www.frigomagic.com
com.isinolsun.app,www.isinolsun.com
zinga.apps.hindu_gods,www.triogenictechnologies.com
com.phantom.me,www.phantom.me
com.cootek.smartinputv5.skin.keyboard_theme_water,sina.lt
kr.co.smartstudy.bodlebookiapsong_cn_android_googlemarket,about.pinkfong.com
asuk.com.android.app,www.7eleven.co.th
com.revolutionmedia.hairstyle.with.bangs,revolutionmediad.blogspot.com
com.netbiscuits.bild.android,www.bild.de
com.coolniks.niksgps,sites.google.com
in.swiggy.android,swiggy.in
com.whatsapp,www.whatsapp.com
com.fotoable.fotobeauty,www.fotoable.com
com.outfit7.tomlovesangelafree,outfit7.com
com.launcher.theme.t211799501,www.cmcm.com
com.microsoft.office.excel,products.office.com
com.goeuro.rosie,www.omio.com
com.calm.checky,www.calm.com
com.plarium.stormfallrob,www.plarium.com
com.andromo.dev38828.app230898,semos.com
com.art.studio.jewelery.photo.suit,www.facebook.com
co.haptik,www.haptik.ai
com.asi.clubfansApp,anwarsamir.github.io
com.nkailapro.hijab.mohajabat,newapp.com
lunosoftware.nflscores,www.lunosoftware.com
kr.co.saramin.brandapp,www.saramin.co.kr
com.tellurionmobile.realmcraft,www.tellurionmobile.com
com.redorange.aceoftennis,www.facebook.com
de.heute.mobile,www.heute.de
badal.appkart.kolkatasub,firebasestorage.googleapis.com
artechnology.create.memes,artechapps.com
com.vitotechnology.StarWalk2Free,www.vitotechnology.com
com.andromo.dev315366.app400894,radioplus.mobi
com.asgardsoft.classics,www.AsgardSoft.com
com.gamestop.powerup,www.gamestop.com
com.mintwalk,www.mintwalk.com
th.co.truemoney.wallet,www.truemoney.com
com.froogloid.kring.google.zxing.client.android,www.keyringapp.com
ai.replika.app,replika.ai
com.andromo.dev518376.app501079,wallinteractiveapps.blogspot.com
com.rovio.BadPiggies,www.rovio.com
biz.app4mobile.app_c1b188672d9e450089bf3b5c90cb598b.app,deineapp.szene1.at
org.rajman.neshan.traffic.tehran.navigator,neshan.org
com.andromo.dev380672.app464546,sites.google.com
tr.com.tiramisu.driftmaxcity,www.tiramisu.com.tr
biblelivevideowallpaper.jslwp.com,docs.google.com
com.huawei.health,consumer.huawei.com
biz.app4mobile.app_10a0b507124b4905b9f1303fe8f8b5c0.app,downtownmorristown.city
com.bleedingedge.police.car.chase.crime,bleedingedge.studio
com.aws.android,www.weatherbug.com
com.khasaapp.sowarromansiya,khasaapp.blogspot.com
com.enflick.android.tn2ndLine,www.2ndline.co
com.andromo.dev319867.app437743,forelinkmedia.blogspot.com.ng
ru.yandex.disk,mobile.yandex.ru
eu.bandainamcoent.galagawars,namcobandai.zendesk.com
com.usbmis.troposphere.clinad,www.clinicaladvisor.com
com.andromo.dev468896.app476250,jatenapppsdev.blogspot.com
com.attijariwafabank.main,www.attijariwafabank.com
com.creative.Learn.to.draw.flowers,creative100.cc
com.andromo.dev421413.app467269,sites.google.com
apps.kutblog.idiomsandphrases,kutblog.com
com.BestPhotoEditor.PhotoVideoMaker,bestphotoeditor.wordpress.com
com.facetec.zoomlogin,zoomlogin.com
com.videomusic.photoslideshow,sites.google.com
com.awesomeappsstudios.infiltratingmissileairship,appsmasterbuilder.com
ru.altarix.mos.pgu,dit.mos.ru
br.com.ubook.ubookapp,www.ubook.com
com.art.studio.baby.girl.fashion.suit,www.facebook.com
com.application.zomato,www.zomato.com
com.buzzarab.buzzarab,www.buzzarab.com
com.cootek.smartinputv5.skin.keyboard_theme_pink_water_sakura,sina.lt
com.wMuslimDating_6500920,habibi.live
com.junesoftware.nazara.cbrace,www.nazara.com
uk.co.vibetickets.android,vibetickets.co.uk
com.snapchat.android,www.snap.com
com.lavendrapp.lavendr,www.surgeapp.com
mk.g6.crackyourscreen,gsix.me
com.qnap.qfile,www.qnap.com
cz.destil.settleup,settleup.io
com.atlantisgames.hopgame,www.akos-makovics.com
com.uspstudios.nurseryrhymesworld,www.uspstudios.co
com.andromo.dev516441.app481408,sites.google.com
rikka.appops,t.me
com.tabtale.cradlesong,www.tabtale.com
com.vividgames.skijumping2012,www.kalypsomedia.com
com.npi.wearminilauncher,plus.google.com
com.MalibuJacks.BlockPartySportsFREE,www.malibujacks.net
se.swedbank.mobil,www.swedbank.se
com.schwans.homeservices,www.schwans.com
org.malwarebytes.antimalware,www.malwarebytes.com
com.teddynursery.nursery.wheelsonthebus.gabrielurraca,entreconsulta.com
com.grindrapp.android,www.grindr.com
bhakti.sagar.durgaji.clock.lwp,bhaktisagarpolicies.wordpress.com
biz.app4mobile.app_e3d681b76933494cb455d751c8070ff2.app,hamburgerseria.com
com.cbi.BibleReader,www.chinesebible.org.hk
com.coldfiregames.spaceclicker,www.coldfiregames.com
com.andromo.dev570801.app606924,inspirationalappsworld.blogspot.com
com.domobile.applock,www.domobile.com
com.remind101,www.remind.com
com.Slack,slack.com
com.roshi.name3Dtext.texteditor,goraapps.wordpress.com
com.mationmedia.skateboardgame,www.polyestergames.com
com.nullapp.piano,www.nullapp.com
com.asus.aicam,www.asus.com
se.maginteractive.wordbrain,wordbrain.maginteractive.com
hr.mireo.arthur,www.geniusmaps.com
com.bigcodegames.cookiecraze,www.bigcodegames.com
com.andromo.dev137436.app235587,hexe.he-internet.de
fm.castbox.audiobook.radio.podcast,castbox.fm
